ID,Genus,Division,Percent,Adjusted,Adjusted,log.per,sqrt.per,N15,Adjusted,sqrt.n15,log.n15,Exact_Depth,Depth,Zone,Site,Location,Region
NWHI-419,Dasya sp.,Rhodophyta,0.8,0.008,0.009,-2.045757491,0.09486833,2.8,5.3,2.302172887,0.72427587,52,51-60,Mesophotic,Kure,a,NWHI
NWHI-393,Dasya sp.,Rhodophyta,1.1,0.011,0.012,-1.920818754,0.109544512,2.9,5.4,2.323790008,0.73239376,91,91-100,Mesophotic,Kure,a,NWHI
NWHI-424,Dasya sp.,Rhodophyta,1.3,0.013,0.014,-1.853871964,0.118321596,5,7.5,2.738612788,0.875061263,91,91-100,Mesophotic,Kure,a,NWHI
NWHI-420,Dasya sp.,Rhodophyta,1.5,0.015,0.016,-1.795880017,0.126491106,4.4,6.9,2.626785107,0.838849091,90,81-90,Mesophotic,Kure,a,NWHI
NWHI-386,Dasya sp.,Rhodophyta,2,0.02,0.021,-1.677780705,0.144913767,4.8,7.3,2.701851217,0.86332286,57,51-60,Mesophotic,Kure,a,NWHI
NWHI-396,Codium sp.,Chlorophyta,0.7,0.007,0.008,-2.096910013,0.089442719,4.9,7.4,2.720294102,0.86923172,91,91-100,Mesophotic,Kure,a,NWHI
NWHI-403,Codium sp.,Chlorophyta,0.9,0.009,0.01,-2,0.1,3.6,6.1,2.469817807,0.785329835,91,91-100,Mesophotic,Kure,a,NWHI
NWHI-394,Codium sp.,Chlorophyta,1.3,0.013,0.014,-1.853871964,0.118321596,5.5,8,2.828427125,0.903089987,91,91-100,Mesophotic,Kure,a,NWHI
NWHI-449,Chondria sp.,Rhodophyta,2,0.02,0.021,-1.677780705,0.144913767,5,7.5,2.738612788,0.875061263,88,81-90,Mesophotic,Kure,a,NWHI
NWHI-91,Padina sp.,Phaeophyceae,1,0.01,0.011,-1.958607315,0.104880885,3.9,6.4,2.529822128,0.806179974,55,51-60,Mesophotic,Midway,b,NWHI
NWHI-92,Microdictyon sp.,Chlorophyta,1.4,0.014,0.015,-1.823908741,0.122474487,2.4,4.9,2.213594362,0.69019608,55,51-60,Mesophotic,Midway,b,NWHI
NWHI-317,Codium sp.,Chlorophyta,0.7,0.007,0.008,-2.096910013,0.089442719,4.3,6.8,2.607680962,0.832508913,55,51-60,Mesophotic,Midway,b,NWHI
NWHI-303,Codium sp.,Chlorophyta,0.8,0.008,0.009,-2.045757491,0.09486833,4.7,7.2,2.683281573,0.857332496,65,61-70,Mesophotic,Midway,b,NWHI
NWHI-90,Codium sp.,Chlorophyta,1.3,0.013,0.014,-1.853871964,0.118321596,4.9,7.4,2.720294102,0.86923172,55,51-60,Mesophotic,Midway,b,NWHI
NWHI-93,Amansia sp.,Rhodophyta,1.7,0.017,0.018,-1.744727495,0.134164079,2.5,5,2.236067977,0.698970004,55,51-60,Mesophotic,Midway,b,NWHI
NWHI-95,Amansia sp.,Rhodophyta,2.3,0.023,0.024,-1.619788758,0.154919334,0.7,3.2,1.788854382,0.505149978,35,31-40,Mesophotic,Midway,b,NWHI
NWHI-429,Sargassum sp.,Phaeophyceae,1.8,0.018,0.019,-1.721246399,0.137840488,3,5.5,2.34520788,0.740362689,91,91-100,Mesophotic,Salmon,c,NWHI
NWHI-430,Microdictyon sp.,Chlorophyta,1.4,0.014,0.015,-1.823908741,0.122474487,4.5,7,2.645751311,0.84509804,91,91-100,Mesophotic,Salmon,c,NWHI
NWHI-440,Gracilaria sp.,Rhodophyta,1.4,0.014,0.015,-1.823908741,0.122474487,3.9,6.4,2.529822128,0.806179974,91,91-100,Mesophotic,Salmon,c,NWHI
NWHI-432,Dasya sp.,Rhodophyta,1.1,0.011,0.012,-1.920818754,0.109544512,4.9,7.4,2.720294102,0.86923172,91,91-100,Mesophotic,Salmon,c,NWHI
NWHI-437,Dasya sp.,Rhodophyta,2.2,0.022,0.023,-1.638272164,0.151657509,2.7,5.2,2.28035085,0.716003344,91,91-100,Mesophotic,Salmon,c,NWHI
NWHI-431,Codium sp.,Chlorophyta,0.7,0.007,0.008,-2.096910013,0.089442719,5.1,7.6,2.75680975,0.880813592,91,91-100,Mesophotic,Salmon,c,NWHI
NWHI-433,Codium sp.,Chlorophyta,1.5,0.015,0.016,-1.795880017,0.126491106,4.6,7.1,2.664582519,0.851258349,91,91-100,Mesophotic,Salmon,c,NWHI
NWHI-979c,Nemacytus sp.,Phaeophyceae,0.7,0.007,0.008,-2.096910013,0.089442719,2.1,4.6,2.144761059,0.662757832,3,10-Jan,Shallow,Pearl & Hermes,d,NWHI
NWHI-979b,Nemacytus sp.,Phaeophyceae,0.8,0.008,0.009,-2.045757491,0.09486833,3.2,5.7,2.387467277,0.755874856,3,10-Jan,Shallow,Pearl & Hermes,d,NWHI
NWHI-979a,Nemacytus sp.,Phaeophyceae,0.8,0.008,0.009,-2.045757491,0.09486833,4.3,6.8,2.607680962,0.832508913,3,10-Jan,Shallow,Pearl & Hermes,d,NWHI
NWHI-974a,Microdictyon sp.,Chlorophyta,0.9,0.009,0.01,-2,0.1,1.2,3.7,1.923538406,0.568201724,15,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI-974b,Microdictyon sp.,Chlorophyta,0.9,0.009,0.01,-2,0.1,1.2,3.7,1.923538406,0.568201724,15,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI-974c,Microdictyon sp.,Chlorophyta,0.9,0.009,0.01,-2,0.1,1.4,3.9,1.974841766,0.591064607,15,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI-1069b,Microdictyon sp.,Chlorophyta,1,0.01,0.011,-1.958607315,0.104880885,0.8,3.3,1.816590212,0.51851394,20,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI-1069a,Microdictyon sp.,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,1,3.5,1.870828693,0.544068044,20,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI-1069c,Microdictyon sp.,Chlorophyta,1.2,0.012,0.013,-1.886056648,0.114017543,1.5,4,2,0.602059991,20,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI-1073a,Microdictyon sp.,Chlorophyta,1.9,0.019,0.02,-1.698970004,0.141421356,2.5,5,2.236067977,0.698970004,25,21-30,Shallow,Pearl & Hermes,d,NWHI
NWHI-1073b,Microdictyon sp.,Chlorophyta,2,0.02,0.021,-1.677780705,0.144913767,2.2,4.7,2.167948339,0.672097858,25,21-30,Shallow,Pearl & Hermes,d,NWHI
NWHI-1073c,Microdictyon sp.,Chlorophyta,2,0.02,0.021,-1.677780705,0.144913767,2.2,4.7,2.167948339,0.672097858,25,21-30,Shallow,Pearl & Hermes,d,NWHI
NWHI-1074b,Laurencia sp.,Rhodophyta,1.1,0.011,0.012,-1.920818754,0.109544512,0.9,3.4,1.843908891,0.531478917,26,21-30,Shallow,Pearl & Hermes,d,NWHI
NWHI-1074c,Laurencia sp.,Rhodophyta,1.2,0.012,0.013,-1.886056648,0.114017543,2.1,4.6,2.144761059,0.662757832,26,21-30,Shallow,Pearl & Hermes,d,NWHI
NWHI-1074a,Laurencia sp.,Rhodophyta,1.4,0.014,0.015,-1.823908741,0.122474487,1.4,3.9,1.974841766,0.591064607,26,21-30,Shallow,Pearl & Hermes,d,NWHI
NWHI-813b,Laurencia sp.,Rhodophyta,1.9,0.019,0.02,-1.698970004,0.141421356,4.1,6.6,2.569046516,0.819543936,2,10-Jan,Shallow,Pearl & Hermes,d,NWHI
NWHI-813a,Laurencia sp.,Rhodophyta,1.9,0.019,0.02,-1.698970004,0.141421356,4.2,6.7,2.588435821,0.826074803,2,10-Jan,Shallow,Pearl & Hermes,d,NWHI
NWHI-813c,Laurencia sp.,Rhodophyta,2,0.02,0.021,-1.677780705,0.144913767,4.2,6.7,2.588435821,0.826074803,2,10-Jan,Shallow,Pearl & Hermes,d,NWHI
NWHI-1071a,Halimeda sp.,Chlorophyta,0.6,0.006,0.007,-2.15490196,0.083666003,1.5,4,2,0.602059991,23,21-30,Shallow,Pearl & Hermes,d,NWHI
NWHI-1070a,Halimeda sp.,Chlorophyta,0.6,0.006,0.007,-2.15490196,0.083666003,2.2,4.7,2.167948339,0.672097858,20,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI-1070b,Halimeda sp.,Chlorophyta,0.7,0.007,0.008,-2.096910013,0.089442719,1.8,4.3,2.073644135,0.633468456,20,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI-1071c,Halimeda sp.,Chlorophyta,0.8,0.008,0.009,-2.045757491,0.09486833,1.7,4.2,2.049390153,0.62324929,23,21-30,Shallow,Pearl & Hermes,d,NWHI
NWHI-1070c,Halimeda sp.,Chlorophyta,0.8,0.008,0.009,-2.045757491,0.09486833,2,4.5,2.121320344,0.653212514,20,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI-878c,Halimeda sp.,Chlorophyta,0.8,0.008,0.009,-2.045757491,0.09486833,4.8,7.3,2.701851217,0.86332286,12,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI-878a,Halimeda sp.,Chlorophyta,0.9,0.009,0.01,-2,0.1,3.7,6.2,2.48997992,0.792391689,12,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI-878b,Halimeda sp.,Chlorophyta,1,0.01,0.011,-1.958607315,0.104880885,2.5,5,2.236067977,0.698970004,12,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI-1071b,Halimeda sp.,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,2.1,4.6,2.144761059,0.662757832,23,21-30,Shallow,Pearl & Hermes,d,NWHI
NWHI-1072a,Halimeda sp.,Chlorophyta,1.5,0.015,0.016,-1.795880017,0.126491106,2.7,5.2,2.28035085,0.716003344,24,21-30,Shallow,Pearl & Hermes,d,NWHI
NWHI-1072b,Halimeda sp.,Chlorophyta,1.6,0.016,0.017,-1.769551079,0.130384048,3,5.5,2.34520788,0.740362689,24,21-30,Shallow,Pearl & Hermes,d,NWHI
NWHI-1072c,Halimeda sp.,Chlorophyta,1.7,0.017,0.018,-1.744727495,0.134164079,2.7,5.2,2.28035085,0.716003344,24,21-30,Shallow,Pearl & Hermes,d,NWHI
AM_57,Chondria sp.,Rhodophyta,0.9,0.009,0.01,-2,0.1,3.4,5.9,2.42899156,0.770852012,12,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI_879c,Chondria sp.,Rhodophyta,1,0.01,0.011,-1.958607315,0.104880885,2.9,5.4,2.323790008,0.73239376,12,20-Nov,Shallow,Pearl & Hermes,d,NWHI
AM_87,Chondria sp.,Rhodophyta,1.1,0.011,0.012,-1.920818754,0.109544512,3,5.5,2.34520788,0.740362689,14,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI_879b,Chondria sp.,Rhodophyta,1.2,0.012,0.013,-1.886056648,0.114017543,3,5.5,2.34520788,0.740362689,12,20-Nov,Shallow,Pearl & Hermes,d,NWHI
AM_1,Chondria sp.,Rhodophyta,1.2,0.012,0.013,-1.886056648,0.114017543,3.1,5.6,2.366431913,0.748188027,13,20-Nov,Shallow,Pearl & Hermes,d,NWHI
AM_75,Chondria sp.,Rhodophyta,1.2,0.012,0.013,-1.886056648,0.114017543,3.2,5.7,2.387467277,0.755874856,12,20-Nov,Shallow,Pearl & Hermes,d,NWHI
AM_37,Chondria sp.,Rhodophyta,1.3,0.013,0.014,-1.853871964,0.118321596,2.7,5.2,2.28035085,0.716003344,2,10-Jan,Shallow,Pearl & Hermes,d,NWHI
AM_67,Chondria sp.,Rhodophyta,1.3,0.013,0.014,-1.853871964,0.118321596,2.9,5.4,2.323790008,0.73239376,12,20-Nov,Shallow,Pearl & Hermes,d,NWHI
AM_125,Chondria sp.,Rhodophyta,1.5,0.015,0.016,-1.795880017,0.126491106,2.9,5.4,2.323790008,0.73239376,19,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI_804a,Chondria sp.,Rhodophyta,1.5,0.015,0.016,-1.795880017,0.126491106,3.2,5.7,2.387467277,0.755874856,17,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI_804c,Chondria sp.,Rhodophyta,1.6,0.016,0.017,-1.769551079,0.130384048,2.4,4.9,2.213594362,0.69019608,17,20-Nov,Shallow,Pearl & Hermes,d,NWHI
AM_100,Chondria sp.,Rhodophyta,1.6,0.016,0.017,-1.769551079,0.130384048,2.8,5.3,2.302172887,0.72427587,14,20-Nov,Shallow,Pearl & Hermes,d,NWHI
AM_13,Chondria sp.,Rhodophyta,1.6,0.016,0.017,-1.769551079,0.130384048,2.9,5.4,2.323790008,0.73239376,13,20-Nov,Shallow,Pearl & Hermes,d,NWHI
AM_115,Chondria sp.,Rhodophyta,1.7,0.017,0.018,-1.744727495,0.134164079,2.2,4.7,2.167948339,0.672097858,19,20-Nov,Shallow,Pearl & Hermes,d,NWHI
AM_101,Chondria sp.,Rhodophyta,1.7,0.017,0.018,-1.744727495,0.134164079,2.3,4.8,2.19089023,0.681241237,19,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI_804b,Chondria sp.,Rhodophyta,1.7,0.017,0.018,-1.744727495,0.134164079,2.4,4.9,2.213594362,0.69019608,17,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI_879a,Chondria sp.,Rhodophyta,1.7,0.017,0.018,-1.744727495,0.134164079,2.8,5.3,2.302172887,0.72427587,12,20-Nov,Shallow,Pearl & Hermes,d,NWHI
AM_76,Chondria sp.,Rhodophyta,1.8,0.018,0.019,-1.721246399,0.137840488,2.4,4.9,2.213594362,0.69019608,14,20-Nov,Shallow,Pearl & Hermes,d,NWHI
AM_25,Chondria sp.,Rhodophyta,1.8,0.018,0.019,-1.721246399,0.137840488,2.8,5.3,2.302172887,0.72427587,13,20-Nov,Shallow,Pearl & Hermes,d,NWHI
NWHI_811c,Chondria sp.,Rhodophyta,1.9,0.019,0.02,-1.698970004,0.141421356,2.5,5,2.236067977,0.698970004,2,10-Jan,Shallow,Pearl & Hermes,d,NWHI
AM_26,Chondria sp.,Rhodophyta,2,0.02,0.021,-1.677780705,0.144913767,3,5.5,2.34520788,0.740362689,2,10-Jan,Shallow,Pearl & Hermes,d,NWHI
NWHI_811a,Chondria sp.,Rhodophyta,2,0.02,0.021,-1.677780705,0.144913767,3.2,5.7,2.387467277,0.755874856,2,10-Jan,Shallow,Pearl & Hermes,d,NWHI
NWHI_811b,Chondria sp.,Rhodophyta,2.6,0.026,0.027,-1.568636236,0.164316767,3,5.5,2.34520788,0.740362689,2,10-Jan,Shallow,Pearl & Hermes,d,NWHI
AM_50,Chondria sp.,Rhodophyta,2.7,0.027,0.028,-1.552841969,0.167332005,3.2,5.7,2.387467277,0.755874856,2,10-Jan,Shallow,Pearl & Hermes,d,NWHI
NWHI-1049c,Ulva/Umbraulva,Chlorophyta,0.6,0.006,0.007,-2.15490196,0.083666003,5.2,7.7,2.774887385,0.886490725,75,71-80,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-380,Ulva/Umbraulva,Chlorophyta,0.6,0.006,0.007,-2.15490196,0.083666003,5.3,7.8,2.792848009,0.892094603,70,61-70,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-1049a,Ulva/Umbraulva,Chlorophyta,0.7,0.007,0.008,-2.096910013,0.089442719,5.3,7.8,2.792848009,0.892094603,75,71-80,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-372,Ulva/Umbraulva,Chlorophyta,2,0.02,0.021,-1.677780705,0.144913767,5.3,7.8,2.792848009,0.892094603,63,61-70,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-280,Tricleocarpa sp.,Rhodophyta,0.5,0.005,0.006,-2.22184875,0.077459667,4.7,7.2,2.683281573,0.857332496,55,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-276,Sporochnus sp.,Phaeophyceae,1.5,0.015,0.016,-1.795880017,0.126491106,3.5,6,2.449489743,0.77815125,55,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-1031b,Scinaia sp.,Rhodophyta,1.3,0.013,0.014,-1.853871964,0.118321596,4.2,6.7,2.588435821,0.826074803,75,71-80,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-969e,Sargassum sp.,Phaeophyceae,1,0.01,0.011,-1.958607315,0.104880885,3.4,5.9,2.42899156,0.770852012,85,81-90,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-1034b,Sargassum sp.,Phaeophyceae,1.1,0.011,0.012,-1.920818754,0.109544512,4.5,7,2.645751311,0.84509804,75,71-80,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-97,Plocamium sp.,Rhodophyta,3.9,0.039,0.04,-1.397940009,0.2,0.9,3.4,1.843908891,0.531478917,64,61-70,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-78,Peyssonnelia sp.,Rhodophyta,0.6,0.006,0.007,-2.15490196,0.083666003,2.8,5.3,2.302172887,0.72427587,58,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-282,Peyssonnelia sp.,Rhodophyta,0.8,0.008,0.009,-2.045757491,0.09486833,3.5,6,2.449489743,0.77815125,55,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-82,Padina sp.,Phaeophyceae,0.6,0.006,0.007,-2.15490196,0.083666003,2.7,5.2,2.28035085,0.716003344,58,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-279,Padina sp.,Phaeophyceae,0.6,0.006,0.007,-2.15490196,0.083666003,3.4,5.9,2.42899156,0.770852012,55,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-83,Padina sp.,Phaeophyceae,0.6,0.006,0.007,-2.15490196,0.083666003,3.8,6.3,2.50998008,0.799340549,58,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-284,Padina sp.,Phaeophyceae,0.7,0.007,0.008,-2.096910013,0.089442719,4.4,6.9,2.626785107,0.838849091,59,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-379,Microdictyon sp.,Chlorophyta,1,0.01,0.011,-1.958607315,0.104880885,3.3,5.8,2.408318916,0.763427994,70,61-70,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-373,Microdictyon sp.,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,2.6,5.1,2.258317958,0.707570176,63,61-70,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-80,Microdictyon sp.,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,2.7,5.2,2.28035085,0.716003344,58,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-84,Halimeda sp.,Chlorophyta,0.2,0.002,0.003,-2.522878745,0.054772256,1.9,4.4,2.097617696,0.643452676,58,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-375,Halimeda sp.,Chlorophyta,1.4,0.014,0.015,-1.823908741,0.122474487,5.3,7.8,2.792848009,0.892094603,70,61-70,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-85,Halimeda sp.,Chlorophyta,1.9,0.019,0.02,-1.698970004,0.141421356,2.8,5.3,2.302172887,0.72427587,56,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-995c,Galaxaura sp.,Rhodophyta,0.4,0.004,0.005,-2.301029996,0.070710678,4.3,6.8,2.607680962,0.832508913,58,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-995b,Galaxaura sp.,Rhodophyta,0.4,0.004,0.005,-2.301029996,0.070710678,4.8,7.3,2.701851217,0.86332286,58,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-995a,Galaxaura sp.,Rhodophyta,0.5,0.005,0.006,-2.22184875,0.077459667,3.6,6.1,2.469817807,0.785329835,58,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-88,Dictyosphaeria sp.,Chlorophyta,0.9,0.009,0.01,-2,0.1,0.3,2.8,1.673320053,0.447158031,56,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-277,Dichotomaria sp.,Rhodophyta,0.6,0.006,0.007,-2.15490196,0.083666003,4.6,7.1,2.664582519,0.851258349,55,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-275,Dasya sp.,Rhodophyta,1.1,0.011,0.012,-1.920818754,0.109544512,6.3,8.8,2.966479395,0.944482672,55,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-378,Dasya sp.,Rhodophyta,1.9,0.019,0.02,-1.698970004,0.141421356,5.4,7.9,2.810693865,0.897627091,70,61-70,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-79,Dasya sp.,Rhodophyta,3.6,0.036,0.037,-1.431798276,0.192353841,3.9,6.4,2.529822128,0.806179974,58,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-77,Codium sp.,Chlorophyta,0.5,0.005,0.006,-2.22184875,0.077459667,3,5.5,2.34520788,0.740362689,58,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-377,Codium sp.,Chlorophyta,0.6,0.006,0.007,-2.15490196,0.083666003,4.2,6.7,2.588435821,0.826074803,70,61-70,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-87,Codium sp.,Chlorophyta,0.6,0.006,0.007,-2.15490196,0.083666003,4.4,6.9,2.626785107,0.838849091,56,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-957a,Codium sp.,Chlorophyta,0.8,0.008,0.009,-2.045757491,0.09486833,4.3,6.8,2.607680962,0.832508913,52,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-957b,Codium sp.,Chlorophyta,0.9,0.009,0.01,-2,0.1,4.3,6.8,2.607680962,0.832508913,52,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-957c,Codium sp.,Chlorophyta,1,0.01,0.011,-1.958607315,0.104880885,4.5,7,2.645751311,0.84509804,52,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-322,Codium sp.,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,1.8,4.3,2.073644135,0.633468456,69,61-70,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-86,Codium sp.,Chlorophyta,1.2,0.012,0.013,-1.886056648,0.114017543,4.5,7,2.645751311,0.84509804,56,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-278,Codium sp.,Chlorophyta,1.2,0.012,0.013,-1.886056648,0.114017543,4.7,7.2,2.683281573,0.857332496,55,51-60,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-1043a,Caulerpa sp.,Chlorophyta,1.9,0.019,0.02,-1.698970004,0.141421356,3.9,6.4,2.529822128,0.806179974,75,71-80,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-1043b,Caulerpa sp.,Chlorophyta,2.1,0.021,0.022,-1.657577319,0.14832397,5.2,7.7,2.774887385,0.886490725,75,71-80,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-376,Caulerpa sp.,Chlorophyta,2.2,0.022,0.023,-1.638272164,0.151657509,4.8,7.3,2.701851217,0.86332286,70,61-70,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-1043c,Caulerpa sp.,Chlorophyta,2.4,0.024,0.025,-1.602059991,0.158113883,5.2,7.7,2.774887385,0.886490725,75,71-80,Mesophotic,Pearl & Hermes,d,NWHI
NWHI-752c,Microdictyon sp.,Chlorophyta,1,0.01,0.011,-1.958607315,0.104880885,2.8,5.3,2.302172887,0.72427587,11,20-Nov,Shallow,Lisianski,e,NWHI
